#Old    New
GLDS-126_sequencing_ArchExtract_PCR_NC_R1_archfwd.fastq.gz	GLDS-126_sequencing_ArchExtract_PCR-NC_R1.fastq.gz
GLDS-126_sequencing_ArchExtract_PCR_NC_R2_archrev.fastq.gz	GLDS-126_sequencing_ArchExtract_PCR-NC_R2.fastq.gz
GLDS-126_sequencing_Extraction_PCR_NC_R1_Fwd.fastq.gz	GLDS-126_sequencing_Extraction_PCR-NC_R1.fastq.gz
GLDS-126_sequencing_Extraction_PCR_NC_R2_Rev.fastq.gz	GLDS-126_sequencing_Extraction_PCR-NC_R2.fastq.gz
GLDS-126_sequencing_Incubated medium NC_R1_Fwd.fastq.gz	GLDS-126_sequencing_Incubated-medium-NC_R1.fastq.gz
GLDS-126_sequencing_Incubatedmedium NC_R2_Rev.fastq.gz	GLDS-126_sequencing_Incubated-medium-NC_R2.fastq.gz
GLDS-126_sequencing_RISS1_archaeal_R1_archfwd.fastq.gz	GLDS-126_sequencing_RISS1_archaeal_R1.fastq.gz
GLDS-126_sequencing_RISS1_archaeal_R2_archrev.fastq.gz	GLDS-126_sequencing_RISS1_archaeal_R2.fastq.gz
GLDS-126_sequencing_RISS1_universal_incubated_R1_Fwd.fastq.gz	GLDS-126_sequencing_RISS1_universal-incubated_R1.fastq.gz
GLDS-126_sequencing_RISS1_universal_incubated_R2_Rev.fastq.gz	GLDS-126_sequencing_RISS1_universal-incubated_R2.fastq.gz
GLDS-126_sequencing_RISS1_universal_R1_Fwd.fastq.gz	GLDS-126_sequencing_RISS1_universal_R1.fastq.gz
GLDS-126_sequencing_RISS1_universal_R2_Rev.fastq.gz	GLDS-126_sequencing_RISS1_universal_R2.fastq.gz
GLDS-126_sequencing_RISS2_archaeal_R1_archfwd.fastq.gz	GLDS-126_sequencing_RISS2_archaeal_R1.fastq.gz
GLDS-126_sequencing_RISS2_archaeal_R2_archrev.fastq.gz	GLDS-126_sequencing_RISS2_archaeal_R2.fastq.gz
GLDS-126_sequencing_RISS2_universal_incubated_R1_Fwd.fastq.gz	GLDS-126_sequencing_RISS2_universal-incubated_R1.fastq.gz
GLDS-126_sequencing_RISS2_universal_incubated_R2_Rev.fastq.gz	GLDS-126_sequencing_RISS2_universal-incubated_R2.fastq.gz
GLDS-126_sequencing_RISS2_universal_R1_Fwd.fastq.gz	GLDS-126_sequencing_RISS2_universal_R1.fastq.gz
GLDS-126_sequencing_RISS2_universal_R2_Rev.fastq.gz	GLDS-126_sequencing_RISS2_universal_R2.fastq.gz
GLDS-126_sequencing_RISS3_archaeal_R1_archfwd.fastq.gz	GLDS-126_sequencing_RISS3_archaeal_R1.fastq.gz
GLDS-126_sequencing_RISS3_archaeal_R2_archrev.fastq.gz	GLDS-126_sequencing_RISS3_archaeal_R2.fastq.gz
GLDS-126_sequencing_RISS3_universal_incubated_R1_Fwd.fastq.gz	GLDS-126_sequencing_RISS3_universal-incubated_R1.fastq.gz
GLDS-126_sequencing_RISS3_universal_incubated_R2_Rev.fastq.gz	GLDS-126_sequencing_RISS3_universal-incubated_R2.fastq.gz
GLDS-126_sequencing_RISS3_universal_R1_Fwd.fastq.gz	GLDS-126_sequencing_RISS3_universal_R1.fastq.gz
GLDS-126_sequencing_RISS3_universal_R2_Rev.fastq.gz	GLDS-126_sequencing_RISS3_universal_R2.fastq.gz
GLDS-126_sequencing_RISS4_universal_incubated_R1_Fwd.fastq.gz	GLDS-126_sequencing_RISS4_universal-incubated_R1.fastq.gz
GLDS-126_sequencing_RISS4_universal_incubated_R2_Rev.fastq.gz	GLDS-126_sequencing_RISS4_universal-incubated_R2.fastq.gz
GLDS-126_sequencing_RISS5_archaeal_R1_archfwd.fastq.gz	GLDS-126_sequencing_RISS5_archaeal_R1.fastq.gz
GLDS-126_sequencing_RISS5_archaeal_R2_archrev.fastq.gz	GLDS-126_sequencing_RISS5_archaeal_R2.fastq.gz
GLDS-126_sequencing_RISS5_universal_incubated_R1_Fwd.fastq.gz	GLDS-126_sequencing_RISS5_universal-incubated_R1.fastq.gz
GLDS-126_sequencing_RISS5_universal_incubated_R2_Rev.fastq.gz	GLDS-126_sequencing_RISS5_universal-incubated_R2.fastq.gz
